Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,1,0,64.0,1,4,263.0,2025.0,1
1,1,0,4.0,0,2,81.8583,34.0,1
1,1,0,52.0,0,0,30.5,2104.0,1
0,1,0,30.0,0,0,27.75,2111.0,0
1,1,0,49.0,1,0,89.1042,2092.0,0
0,1,0,65.0,0,0,26.55,4038.0,1
1,1,0,48.0,0,0,26.55,4012.0,1
0,1,0,47.0,0,0,38.5,4063.0,1
1,1,0,25.0,1,0,91.0792,1049.0,0
1,1,1,35.0,1,0,90.0,2093.0,1
0,1,0,58.0,0,0,29.7,1037.0,0
0,1,0,55.0,0,0,30.5,2030.0,1
1,1,1,54.0,1,0,78.2667,3020.0,0
0,1,1,25.0,1,2,151.55,2024.0,1
1,1,1,16.0,0,0,86.5,1079.0,1
0,1,0,18.0,1,0,108.9,2065.0,0
1,1,0,36.0,0,0,26.2875,4025.0,1
0,1,0,47.0,0,0,34.0208,3046.0,1
1,2,1,34.0,0,0,10.5,5033.0,1
1,1,1,30.0,0,0,93.5,1073.0,1
1,1,1,44.0,0,1,57.9792,1018.0,0
0,1,0,45.0,0,0,26.55,1038.0,1
1,1,1,22.0,0,2,49.5,1039.0,0
1,1,1,36.0,0,2,71.0,1022.0,1
0,1,0,50.0,1,0,106.425,2086.0,0
1,1,0,17.0,0,2,110.8833,2070.0,0
1,1,1,48.0,1,0,39.6,16.0,0
1,1,1,39.0,1,1,79.65,4067.0,1
1,1,1,53.0,2,0,51.4792,2101.0,1
1,1,0,36.0,0,0,26.3875,4025.0,1
1,1,1,39.0,1,0,55.9,4044.0,1
1,1,1,39.0,1,1,110.8833,2068.0,0
0,1,0,36.0,0,0,40.125,10.0,0
1,1,1,18.0,0,2,79.65,4068.0,1
1,1,0,60.0,1,1,79.2,1041.0,0
1,1,1,52.0,1,0,78.2667,3020.0,0
1,1,0,49.0,1,0,56.9292,20.0,0
1,1,1,40.0,0,0,153.4625,2125.0,1
1,2,1,4.0,2,1,39.0,5004.0,1
1,1,0,42.0,1,0,52.5542,3019.0,1
0,1,0,61.0,0,0,32.3208,3050.0,1
1,1,1,21.0,0,0,77.9583,3009.0,1
1,1,0,80.0,0,0,30.0,23.0,1
1,1,0,32.0,0,0,30.5,1050.0,0
1,1,1,24.0,0,0,69.3,1035.0,0
1,1,0,48.0,1,0,76.7292,3033.0,0
1,1,0,56.0,0,0,35.5,26.0,0
0,1,0,58.0,0,2,113.275,3048.0,0
0,1,0,47.0,0,0,25.5875,4058.0,1
0,1,0,31.0,1,0,52.0,1071.0,1
1,1,0,36.0,0,1,512.3292,1053.0,0
1,1,0,27.0,0,0,76.7292,3049.0,0
1,1,1,15.0,0,1,211.3375,1005.0,1
1,1,0,31.0,1,0,57.0,1020.0,1
0,1,0,49.0,1,1,110.8833,2068.0,0
1,1,1,18.0,1,0,227.525,2063.0,0
1,1,0,35.0,0,0,26.2875,4024.0,1
1,1,0,42.0,0,0,26.2875,4024.0,1
1,1,1,24.0,0,0,49.5042,2090.0,0
1,1,0,48.0,1,0,52.0,2126.0,1
1,1,1,38.0,0,0,227.525,2045.0,0
1,2,1,27.0,0,0,10.5,4101.0,1
1,1,0,27.0,1,0,53.1,4008.0,1
1,1,1,29.0,0,0,211.3375,1005.0,1
1,1,0,35.0,0,0,512.3292,1101.0,0
0,1,0,36.0,1,0,78.85,2046.0,1
1,1,1,21.0,2,2,262.375,1061.25,0
0,1,0,70.0,1,1,71.0,1022.0,1
0,1,0,19.0,1,0,53.1,3030.0,1
1,3,0,6.0,0,1,12.475,4121.0,1
1,1,1,33.0,0,0,86.5,1077.0,1
1,1,1,36.0,1,2,120.0,1097.0,1
1,1,1,51.0,1,0,77.9583,3011.0,1
0,2,1,57.0,0,0,10.5,4077.0,1
1,1,1,43.0,0,1,211.3375,1003.0,1
1,1,1,17.0,1,0,57.0,1020.0,1
0,1,0,29.0,0,0,30.0,3006.0,1
0,1,0,46.0,0,0,79.2,1083.0,0
1,1,1,49.0,0,0,25.9292,3017.0,1
1,1,0,11.0,1,2,120.0,1097.0,1
0,1,0,39.0,0,0,0.0,36.0,1
1,1,1,33.0,1,0,53.1,4008.0,1
1,1,1,52.0,1,1,93.5,1069.0,1
1,3,1,27.0,0,1,12.475,4121.0,1
1,1,1,39.0,1,1,83.1583,4049.0,0
1,1,1,16.0,0,1,39.4,3028.0,1
1,1,0,51.0,0,0,26.55,4017.0,1
1,1,1,48.0,0,0,25.9292,3017.0,1
0,1,0,31.0,0,0,50.4958,24.0,1
1,1,1,47.0,1,1,52.5542,3035.0,1
0,1,0,33.0,0,0,5.0,1053.0,1
1,1,1,56.0,0,1,83.1583,2050.0,0
1,1,1,19.0,0,0,30.0,1042.0,1
1,1,0,26.0,0,0,30.0,2148.0,0
