Sex,Pclass,Title,Age,FamilySize,Fare,Cabin_Letter,Cabin_Number,Embarked,Survived
0,3,12,5,0,1,-1,-1,0,0
0,3,12,4,0,1,-1,-1,1,0
1,1,9,9,0,12,-1,-1,0,1
1,3,9,1,2,1,-1,-1,0,1
0,3,12,7,0,1,-1,-1,1,0
1,1,13,8,1,3,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,0
0,2,12,4,0,4,-1,-1,1,0
0,3,8,1,7,3,-1,-1,1,0
1,2,9,8,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
1,2,9,4,0,1,-1,-1,0,1
0,1,12,8,3,7,1,9698,1,1
0,3,12,5,0,1,-1,-1,1,1
0,3,12,6,2,1,-1,-1,1,0
1,1,9,5,1,6,3,36,0,1
1,3,13,5,2,1,6,6,1,1
0,3,12,5,0,1,-1,-1,1,0
1,3,9,7,0,1,-1,-1,1,0
0,2,12,10,0,2,-1,-1,1,0
0,2,4,5,0,1,-1,-1,1,0
1,2,13,6,0,1,-1,-1,1,1
0,3,12,8,0,1,-1,-1,1,1
0,3,12,6,0,1,-1,-1,1,0
1,3,9,5,1,1,-1,-1,1,0
0,3,12,6,1,1,-1,-1,1,0
1,3,9,5,0,1,-1,-1,1,0
0,2,12,7,1,2,-1,-1,1,0
0,3,12,11,0,1,-1,-1,1,0
0,2,8,1,2,1,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
1,3,9,0,4,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
1,1,9,7,1,5,2,78,2,1
0,2,12,0,0,1,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,1
1,3,13,0,0,1,-1,-1,1,0
1,2,13,7,2,2,-1,-1,1,1
1,2,9,4,2,1,-1,-1,1,1
0,2,12,7,0,1,-1,-1,1,0
1,3,9,3,2,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
0,3,12,5,0,1,-1,-1,2,0
0,3,12,6,0,1,-1,-1,1,0
1,3,13,6,2,1,-1,-1,1,0
0,3,12,4,2,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,2,13,6,1,2,-1,-1,1,1
1,2,9,4,0,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,7,0,1,4,10,1,1
0,1,12,6,0,2,2,52,1,1
1,3,13,0,1,1,-1,-1,1,1
1,2,13,9,1,2,-1,-1,1,1
0,3,12,4,0,1,-1,-1,1,0
0,1,12,11,1,3,4,44,1,0
1,1,9,3,3,7,1,9698,1,1
1,3,9,5,4,2,-1,-1,1,0
1,2,13,5,5,1,-1,-1,1,1
0,1,12,13,5,14,2,232527,1,0
0,2,12,7,0,1,-1,-1,1,0
1,2,13,10,2,2,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,6,1,1,-1,-1,1,0
1,2,14,6,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,1
0,1,8,1,2,5,0,34,1,1
1,2,9,3,1,1,-1,-1,1,1
0,1,12,7,0,2,-1,-1,1,1
1,3,9,2,3,1,-1,-1,0,1
0,1,7,11,0,2,2,104,1,1
0,2,12,8,3,2,-1,-1,1,0
0,3,12,0,1,1,-1,-1,1,0
0,1,12,7,0,2,2,111,0,0
0,1,12,10,1,5,2,92,0,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,0,1
0,1,12,14,0,2,4,38,1,0
1,1,13,0,1,3,3,21,1,1
1,2,9,11,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
0,1,12,10,0,2,4,12,1,1
0,3,12,7,0,1,-1,-1,1,0
0,1,12,10,0,2,4,63,1,0
0,2,12,10,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
0,2,12,0,0,1,-1,-1,1,0
0,1,12,12,0,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
1,3,9,1,3,1,-1,-1,0,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
1,2,13,7,3,2,-1,-1,1,1
1,2,13,5,0,1,3,-1,0,1
1,3,9,5,0,1,-1,-1,1,0
0,1,12,0,0,3,0,14,1,0
0,2,12,7,1,2,-1,-1,1,0
0,3,12,6,1,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,3,9,1,1,1,-1,-1,1,1
0,3,8,2,7,3,-1,-1,1,0
0,2,12,0,0,1,-1,-1,1,0
0,3,12,11,0,1,-1,-1,1,0
1,3,13,13,0,1,-1,-1,1,1
0,1,12,6,1,5,1,49,0,1
1,3,9,0,4,2,-1,-1,1,0
1,1,13,8,1,5,2,93,1,1
0,1,12,12,0,2,1,37,0,0
0,3,12,7,0,1,-1,-1,1,0
0,3,8,2,2,1,-1,-1,1,1
0,3,12,0,1,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,12,0,2,2,30,1,0
0,1,12,15,0,3,-1,-1,0,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
1,1,9,11,1,4,3,20,0,1
0,3,12,0,0,1,-1,-1,1,0
1,1,13,6,3,8,2,2226,1,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,3,9,5,0,1,-1,-1,2,0
1,3,9,0,0,1,-1,-1,2,0
1,3,9,8,0,1,-1,-1,1,0
1,1,9,4,0,5,1,79,1,1
0,1,12,4,1,6,2,65,0,0
1,2,13,7,2,2,-1,-1,1,1
0,1,12,0,0,2,-1,-1,1,1
0,3,12,6,0,2,-1,-1,1,0
0,3,12,6,0,3,-1,-1,1,1
0,3,12,6,0,1,-1,-1,2,1
0,3,12,0,0,1,-1,-1,1,0
0,1,12,8,0,2,4,25,1,1
1,1,13,11,1,3,-1,-1,0,1
0,3,12,5,0,1,-1,-1,1,0
0,1,12,10,0,2,3,46,1,0
1,2,13,7,0,1,5,33,1,1
0,3,12,0,0,2,-1,-1,2,0
1,2,13,8,1,2,-1,-1,1,1
0,3,12,7,0,1,-1,-1,1,0
1,1,9,7,0,5,1,73,1,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
1,1,13,9,1,3,1,18,0,1
0,3,12,0,0,1,-1,-1,0,0
0,3,12,9,0,1,-1,-1,2,0
1,2,9,11,0,1,-1,-1,1,1
0,1,12,0,0,12,2,95,1,0
0,3,12,8,0,1,-1,-1,1,0
0,2,12,5,3,1,-1,-1,1,0
1,2,9,1,2,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,0,0
0,3,12,4,2,1,-1,-1,0,0
1,3,13,0,2,2,-1,-1,0,1
1,3,9,7,0,1,-1,-1,1,0
1,2,9,2,2,2,-1,-1,1,1
0,1,7,10,0,2,1,38,1,0
1,1,9,7,0,6,-1,-1,0,1
0,3,12,0,0,1,-1,-1,1,0
1,1,9,5,2,3,1,39,0,1
1,1,9,8,2,4,1,22,1,1
1,3,9,2,6,2,-1,-1,1,0
1,3,9,3,6,2,-1,-1,1,0
0,2,12,7,1,2,-1,-1,1,1
0,1,12,11,1,6,2,86,0,0
0,1,12,13,0,2,-1,-1,1,0
1,2,13,4,1,2,-1,-1,1,1
0,2,12,0,0,1,-1,-1,0,1
0,3,12,7,2,2,-1,-1,1,0
0,2,8,2,2,2,-1,-1,1,1
0,1,12,4,2,6,2,70,0,1
0,2,12,6,0,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
0,3,12,5,0,1,-1,-1,0,1
1,3,9,5,0,1,-1,-1,1,1
0,1,12,13,0,2,-1,-1,1,0
1,1,6,10,1,2,0,16,0,1
0,1,12,0,0,12,-1,-1,0,0
1,1,13,8,2,4,4,67,1,1
1,3,13,8,1,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,9,0,1,-1,-1,1,0
0,2,12,6,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,1,0
0,3,12,5,2,2,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,3,13,6,4,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
0,3,12,7,0,1,-1,-1,1,1
0,2,12,13,0,1,-1,-1,1,1
1,1,13,11,2,3,2,101,1,1
0,1,12,8,0,2,4,25,1,1
1,3,9,0,0,1,-1,-1,2,1
0,3,12,4,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,2,9,7,0,1,-1,-1,1,1
1,1,13,8,1,3,4,44,1,1
1,3,13,0,1,1,-1,-1,0,0
0,3,12,7,0,1,-1,-1,1,1
1,2,9,6,2,2,-1,-1,1,1
1,1,13,8,2,6,2,68,0,1
0,2,12,11,0,2,-1,-1,1,0
0,1,12,8,0,3,0,10,0,0
0,3,12,0,0,1,-1,-1,0,0
1,1,9,4,2,4,4,68,1,1
0,2,12,10,0,1,-1,-1,1,0
0,1,12,13,2,4,1,41,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
1,1,13,11,1,4,3,20,0,1
0,3,12,10,0,1,-1,-1,1,0
1,3,9,0,2,1,-1,-1,2,0
0,2,12,8,1,2,-1,-1,1,0
0,3,12,8,2,2,-1,-1,1,0
1,2,9,0,0,2,-1,-1,1,1
0,3,12,10,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
0,1,16,10,1,3,0,20,0,1
1,2,13,5,3,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,0
0,1,12,0,0,3,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,0
0,1,12,8,0,2,-1,-1,0,1
0,3,12,8,1,1,-1,-1,1,0
0,3,12,7,0,1,-1,-1,1,0
0,1,12,6,0,2,-1,-1,1,1
1,2,13,5,3,3,-1,-1,0,1
1,1,9,9,0,8,2,125,1,1
1,3,13,8,6,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,3,9,0,1,1,-1,-1,2,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,8,0,1,-1,-1,1,0
1,2,9,5,3,4,-1,-1,1,1
0,3,12,7,2,1,-1,-1,1,0
1,3,13,6,1,1,-1,-1,1,0
1,2,9,1,3,2,5,4,1,1
0,2,12,6,0,1,-1,-1,1,0
0,3,12,6,1,1,-1,-1,0,0
0,1,12,9,1,3,3,19,1,1
0,3,12,5,2,1,-1,-1,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,13,0,2,3,50,1,0
0,2,15,12,0,1,-1,-1,2,0
1,1,9,5,0,4,3,9,1,1
0,3,12,6,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
0,1,12,17,0,2,0,23,1,1
0,3,12,11,0,1,-1,-1,1,0
0,1,4,7,0,2,1,50,0,1
0,1,12,0,0,1,-1,-1,1,0
1,3,9,2,5,2,-1,-1,1,0
1,2,9,6,0,1,-1,-1,1,1
0,3,12,7,0,1,-1,-1,1,0
0,2,12,7,2,2,-1,-1,1,0
1,3,13,9,5,2,-1,-1,1,0
0,3,12,0,1,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,1,10,5,0,4,1,35,0,1
1,3,9,1,5,2,-1,-1,1,0
0,3,12,0,0,3,-1,-1,1,1
